id,name,lat_lon,free_bikes
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5
7301,Primrose Ave / Davenport Rd,"43.67142,-79.445947",6
7309,Queen St. E / Rhodes Ave.,"43.666224,-79.317693",13
7045,Bond St / Queen St E,"43.653236,-79.376716",9
7044,Church St / Alexander St,"43.663722,-79.380288",0
7047,University Ave / Gerrard St W (East Side),"43.657763,-79.389165",7
7041,Edward St / Yonge St,"43.656729,-79.382736",14
7040,Euclid Ave / Bloor St W,"43.664467,-79.414783",13
7128,Yonge St / Aylmer Ave,"43.675492,-79.388858",9
7129,Davenport Rd / Avenue Rd,"43.674991,-79.396273",3
7126,Yonge St / Yorkville Ave,"43.671944,-79.387778",5
7124,Dundas St E / Broadview Ave,"43.662365,-79.351104",7
7048,Front St W / Yonge St (Hockey Hall of Fame),"43.646144,-79.377962",21
7120,Gerrard St E / River St,"43.663993,-79.358534",6
7121,Jarvis St / Dundas St E,"43.657266,-79.374756",15
7346,Logan Av / Gerrard St E,"43.6672144,-79.3452697",11
7347,Regal Rd / Dufferin St,"43.673939,-79.441159",6
7342,Morse St / Eastern Ave,"43.657991,-79.340075",8
7343,Alton Ave / Dundas St E (Greenwood Park),"43.66745,-79.329408",13
7340,Blake St / Boultbee Ave,"43.672453,-79.338259",3
7341,Eastern Ave / Winnifred Ave,"43.6592088,-79.3348396",9
7349,Gamble Ave / Broadview Ave,"43.689211,-79.35438",7
7268,111 Bond St (North of Dundas St E)  - SMART,"43.656927,-79.378497",15
7265,Wallace Ave / Symington Ave - SMART,"43.661324,-79.449534",1
7267,Dundas St E / Pembroke St - SMART,"43.658295,-79.372346",7
7266,Victoria Park Subway Station - SMART,"43.6940155,-79.2889842",16
7262,Wychwood Ave / Benson Ave - SMART,"43.6809164,-79.4229684",3
7379,Lawton Blvd / Yonge St,"43.6910667,-79.39535",3
7378,Yonge St / Davisville Ave,"43.6975969,-79.39654",2
7000,Fort York  Blvd / Capreol Ct,"43.639832,-79.395954",0
7003,Madison Ave / Bloor St W,"43.667158,-79.402761",4
7002,St. George St / Bloor St W,"43.667333,-79.399429",12
7005,King St W / York St,"43.6480008,-79.383177",17
7004,University Ave / Elm St,"43.656518,-79.389099",0
7007,College St / Huron St,"43.658148,-79.398167",1
7279,Rosehill Ave / Avoca Ave - SMART,"43.687999,-79.38906",3
7175,HTO Park (Queens Quay W),"43.63796,-79.387502",22
7174,Bloor St W / Dundas St W,"43.6563889,-79.45166666666667",13
7176,Bathurst St / Fort York Blvd,"43.639179,-79.399595",7
7171,Ontario Place Blvd / Lake Shore Blvd W,"43.6322445,-79.4108105",10
7170,Spadina Ave / Willcocks St,"43.6616667,-79.40138888888889",10
7173,Cariboo St / Rail Path,"43.66666667,-79.45833333333334",18
7178,Dundas St W / Edna Ave,"43.657192,-79.452559",12
7078,College St / Major St,"43.6576,-79.4032",10
7079,McGill St / Church St,"43.660694,-79.379052",6
7075,Queens Quay W / Dan Leckie Way,"43.636533,-79.395854",20
