lat_lon,POI_name,Dist2Station
"43.665269,-79.319796",McDonald's,62
"43.665269,-79.319796",Chick-N-Joy,129
"43.665269,-79.319796",Jaclyn's,171
"43.665269,-79.319796",Subway,246
"43.665269,-79.319796",Tulip Restaurant,265
"43.665269,-79.319796",Burrito Bandidos,299
"43.665269,-79.319796",O Sushi,300
"43.665269,-79.319796",KFC,346
"43.665269,-79.319796",Maru Japanese Bistro,356
"43.665269,-79.319796",Queen Margherita Pizza,357
"43.67142,-79.445947",Morning Star Restaurant,370
"43.67142,-79.445947",The Sovereign,494
"43.67142,-79.445947",Royal Caribbean Cafe,509
"43.67142,-79.445947",Blazing Kitchen,550
"43.67142,-79.445947",North Of Brooklyn Pizzeria,574
"43.67142,-79.445947",Tre Mari Bakery,603
"43.67142,-79.445947",Don Quixote Restaurant,613
"43.67142,-79.445947",Paulo’s Cake Shop,616
"43.67142,-79.445947",Parallel,617
"43.67142,-79.445947",Frank's Pizza House,630
"43.666224,-79.317693",Jaclyn's,28
"43.666224,-79.317693",Subway,64
"43.666224,-79.317693",Tulip Restaurant,68
"43.666224,-79.317693",O Sushi,100
"43.666224,-79.317693",Burrito Bandidos,103
"43.666224,-79.317693",KFC,149
"43.666224,-79.317693",McDonald's,172
"43.666224,-79.317693",Simple Coffee,179
"43.666224,-79.317693",Null,180
"43.666224,-79.317693",Casa Di Giorgios,205
"43.653236,-79.376716",Second Cup Café,64
"43.653236,-79.376716",Shawarma's King,70
"43.653236,-79.376716",The Carbon Bar,153
"43.653236,-79.376716",Bob's Bulgogi,161
"43.653236,-79.376716",La Bettola Di Terroni,175
"43.653236,-79.376716",George Restaurant,183
"43.653236,-79.376716",Gyu-Kaku BBQ,233
"43.653236,-79.376716",XO Bisous,248
"43.653236,-79.376716",Sunset Grill,258
"43.653236,-79.376716",Leña Restaurante,261
"43.663722,-79.380288",Kawa Sushi,20
"43.663722,-79.380288",North of Brooklyn Pizzeria,73
"43.663722,-79.380288",Loaded Pierogi,108
"43.663722,-79.380288",Hair of the Dog,111
"43.663722,-79.380288",Si Lom Thai Bistro,146
"43.663722,-79.380288",Sambucas on Church,149
"43.663722,-79.380288",Ginger,188
"43.663722,-79.380288",Hero Certified Burgers,217
"43.663722,-79.380288",The Blake House,241
"43.663722,-79.380288",Pita Way,252
"43.657763,-79.389165",Flock Rotisserie + Greens,157
"43.657763,-79.389165",Mercatto,315
"43.657763,-79.389165",Jimmy's Coffee,315
"43.657763,-79.389165",Krispy Kreme,317
"43.657763,-79.389165",Rolltation,345
"43.657763,-79.389165",Cafe Plenty,355
"43.657763,-79.389165",Sansotei Ramen,360
"43.657763,-79.389165",Cafe la Gaffe,376
"43.657763,-79.389165",Gallery Sushi,383
"43.657763,-79.389165",Fresh Start Coffee Co,386
"43.656729,-79.382736",Red Lobster,83
"43.656729,-79.382736",GB Hand-Pulled Noodles,90
"43.656729,-79.382736",JOEY Eaton Centre,98
"43.656729,-79.382736",The Queen and Beaver Public House,104
"43.656729,-79.382736",Adega Restaurant,105
"43.656729,-79.382736",Donatello Restaurant,109
"43.656729,-79.382736",Konjiki Ramen,110
"43.656729,-79.382736",Barberian's Steak House,122
"43.656729,-79.382736",Bangkok Garden Restaurant,127
"43.656729,-79.382736",Salad King,132
"43.664467,-79.414783",KFC,9
