lat_lon,poi_name,dist2station,rating,reviews
"43.665269,-79.319796",Jaclyn's,172.37513361109032,4.5,15
"43.665269,-79.319796",Casa Di Giorgios,408.71572448842034,4.0,74
"43.665269,-79.319796",Lake Inez,794.6619550133811,4.5,94
"43.665269,-79.319796",Mattachioni,815.1485644834155,4.5,5
"43.665269,-79.319796",Chino Locos Original,467.1225455571697,4.0,190
"43.665269,-79.319796",Beach Club,839.3120734378176,3.0,17
"43.665269,-79.319796",Maru Japanese Bistro,364.44850504314206,4.0,15
"43.665269,-79.319796",The Sidekick,436.0032948767222,4.5,31
"43.665269,-79.319796",Le Conciliabule,903.6090778135728,4.5,12
"43.665269,-79.319796",British Style Fish & Chips,426.62747686060635,4.0,52
"43.665269,-79.319796",Nodo Leslieville,983.1152024508168,4.0,35
"43.665269,-79.319796",Chick-N-Joy,125.48313239918345,4.0,55
"43.665269,-79.319796",Hastings Snack Bar,755.3857132342414,4.5,41
"43.665269,-79.319796",Yaya Greek Bistro,994.9676130216748,4.0,83
"43.665269,-79.319796",Gio Rana's Really Really Nice Restaurant,881.124117228234,4.0,228
"43.665269,-79.319796",O Sushi,277.56958241445363,4.0,58
"43.665269,-79.319796",Burrito Bandidos,286.2490649948758,3.5,57
"43.665269,-79.319796",Black Pony,805.5180733412958,4.5,8
"43.665269,-79.319796",Toto Sushi,786.0540022910883,4.5,30
"43.665269,-79.319796",Puerto Bravo,777.9806691992109,4.5,4
"43.665269,-79.319796",Karma's Kitchen,772.1052134898712,4.0,62
"43.665269,-79.319796",The Burger's Priest,374.2380726403347,3.5,503
"43.665269,-79.319796",McDonald's,64.24127334717444,2.5,22
"43.665269,-79.319796",Lazy Daisy's Cafe,828.6620562118607,4.0,152
"43.665269,-79.319796",Good Behaviour,849.2026845221632,4.5,8
"43.665269,-79.319796",Tea N Bannock,895.556531489122,4.5,44
"43.665269,-79.319796",Desi Burger,828.4504181006843,4.0,12
"43.665269,-79.319796",Maha's,1005.190034713692,4.0,580
"43.665269,-79.319796",BIRDIES Fried Chicken,888.19961235597,4.5,10
"43.665269,-79.319796",Lahore Tikka House,787.4737977905058,3.5,542
"43.665269,-79.319796",Kabul Kabab House,848.6746826844852,4.0,6
"43.665269,-79.319796",Leslie Jones,1003.9901183084847,4.0,75
"43.665269,-79.319796",The Famous Indian Cuisine,809.8067400048328,4.0,66
"43.665269,-79.319796",Lahore Chaat & Desi Burger House,836.073363031042,4.0,16
"43.665269,-79.319796",Occasions Restaurant,908.6517424267239,4.0,45
"43.665269,-79.319796",Jules Bistro,724.0458166129055,3.5,27
"43.665269,-79.319796",Regency Restaurant,779.0130455385532,4.0,78
"43.665269,-79.319796",Blondies,861.4874302724193,4.0,52
"43.665269,-79.319796",Simple Coffee,377.71945333078975,4.5,2
"43.665269,-79.319796",JP Restaurant,868.7163980383974,3.5,10
"43.665269,-79.319796",The Social Gardener,839.3721467797657,3.5,5
"43.665269,-79.319796",Motimahal,820.9476903595535,3.5,108
"43.665269,-79.319796",Shish,882.1266222359825,3.0,20
"43.665269,-79.319796",Butter Chicken Roti,269.8924212338174,2.5,13
"43.665269,-79.319796",Maestro Omar’s Gourmet Pizza,760.3739598694156,4.0,8
"43.665269,-79.319796",Leela Indian Food Bar,829.0861018161038,4.5,14
"43.665269,-79.319796",The Thirsty Loon,792.3322184932346,4.0,2
"43.665269,-79.319796",New Town Family Restaurant,914.6448458728537,3.5,14
"43.665269,-79.319796",Flying Pony,803.3293219941002,4.0,31
"43.665269,-79.319796",Lahore Grill & Fast Food,946.9555889685645,3.5,12
"43.67142,-79.445947",Agio,646.4712110381079,4.5,188
"43.67142,-79.445947",Rush Hour,440.38079151577574,4.5,46
"43.67142,-79.445947",Famiglia Baldassarre,888.6585807335229,4.5,68
"43.67142,-79.445947",Meta Dos Leitoes,622.2462797683386,4.5,7
"43.67142,-79.445947",Parallel,631.8823306471566,4.0,94
"43.67142,-79.445947",Love Chix,292.2904736197312,3.5,45
"43.67142,-79.445947",The Sovereign,506.778964258629,4.5,35
"43.67142,-79.445947",North Of Brooklyn,597.6101584467683,4.0,42
"43.67142,-79.445947",Century Park Tavern,299.6021921678177,3.5,3
"43.67142,-79.445947",El Sazón Mexicano,644.4584382403085,4.0,10
"43.67142,-79.445947",Rio 40 Restaurant,671.4154156763975,4.0,63
"43.67142,-79.445947",Brasa Peruvian Kitchen,722.2254300821098,5.0,8
"43.67142,-79.445947",King's Tacos,748.0025230177372,4.0,80
"43.67142,-79.445947",Defina Wood Fired,711.2083597651887,3.5,26
"43.67142,-79.445947",CANO Restaurant,915.1775649252512,4.5,65
"43.67142,-79.445947",The Morning Star Restaurant,384.73348615765747,2.5,2
"43.67142,-79.445947",Royal Caribbean Cafe,843.8130430746783,4.0,28
"43.67142,-79.445947",Piri Piri Grill,652.0344441807152,3.5,51
"43.67142,-79.445947",Itacate,1133.499451999319,4.5,56
"43.67142,-79.445947",Atomic 10,931.635048024702,4.5,24
"43.67142,-79.445947",DeSotos Eatery,947.5439424369905,4.0,82
"43.67142,-79.445947",Marcello’s pizzeria,769.5753009498222,4.0,99
"43.67142,-79.445947",La Bruschetta Restaurant,600.3999690532293,4.0,39
"43.67142,-79.445947",La Morena,729.1281878563793,5.0,8
"43.67142,-79.445947",Gaucho Pie,898.6369769209161,4.5,8
"43.67142,-79.445947",Lucia,981.6022884525086,4.0,10
"43.67142,-79.445947",Barista & Chef,1124.5364570370355,4.5,53
"43.67142,-79.445947",Tre Mari Bakery,600.1521333713055,4.5,92
"43.67142,-79.445947",Koji Japanese Restaurant,873.9979542109148,4.5,38
"43.67142,-79.445947",Stop BBQ Chicken,884.9611102138603,4.0,11
"43.67142,-79.445947",Lox + Schmear,1060.466420007241,4.5,40
"43.67142,-79.445947",Cantanhede O Bairradino,995.6213678960268,4.0,40
"43.67142,-79.445947",Tuckshop Kitchen,1062.8492203416472,4.5,57
"43.67142,-79.445947",Frank’s Pizza House,659.0933696247339,3.5,99
"43.67142,-79.445947",kapital restaurant & Grill,879.1494181626083,5.0,1
